seller_id,total_revenue,avg_order_value,total_orders,total_product_sold
59417c56835dd8e2e72f91f809cd4092,36459.00,2025.50,18,18
06a2c3af7b3aee5d69171b0e14f0ee87,36408.95,92.88,392,405
7299e27ed73d2ad986de7f7c77d919fa,34725.43,102.74,338,361
e9bc59e7b60fc3063eb2290deda4cced,34343.06,159.00,216,269
dbc22125167c298ef99da25668e1011f,33776.78,83.19,406,429
9c0e69c7bf2619675bbadf47b43f655a,33702.78,214.67,157,206
76d5af76d0271110f9af36c92573f765,33461.60,255.43,131,159
1835b56ce799e6a4dc4eddc053f04066,33344.21,78.83,423,558
5c243662ce92d84573bfaff24c3e3700,32862.02,335.33,98,100
2528513dd95219a6013d4d05176e391a,32689.10,203.04,161,167
855668e0971d4dfd7bef1b6a4133b41b,32208.16,103.23,312,327
70eea00b476a314817cefde4aad4f89a,31994.65,296.25,108,114
7681ef142fd2c19048da7430856b5588,31941.81,541.39,59,77
e59aa562b9f8076dd550fcddf0e73491,31574.30,451.06,70,84
88460e8ebdecbfecb5f9601833981930,31546.55,127.20,248,302
0241d4d5d36f10f80c644447315af0bd,31397.70,131.92,238,246
87142160b41353c4e5fca2360caf6f92,31095.98,101.95,305,339
70a12e78e608ac31179aea7f8422044b,30858.53,97.96,315,328
53e4c6e0f4312d4d2107a8c9cddf45cd,30148.95,63.74,473,522
d23019c84ffae2d5ef2270367b8605fc,29205.10,748.85,39,39
900ba814c251a692506d7834c1218441,29099.69,330.68,88,88
1554a68530182680ad5c8b042c3ab563,29052.53,117.62,247,269
0b90b6df587eb83608a64ea8b390cf07,28592.32,174.34,164,210
7e1fb0a3ebfb01ffb3a7dae98bf3238d,27349.53,172.01,159,174
59b22a78efb79a4797979612b885db36,27184.50,217.48,125,133
d1c281d3ae149232351cd8c8cc885f0d,26942.60,125.31,215,240
b32be1695eb7ec5f10f72d9610a12527,26874.00,597.20,45,46
12b9676b00f60f3b700e83af21824c0e,26774.00,198.33,135,135
a3a38f4affed601eb87a97788c949667,26533.32,104.46,254,263
de23c3b98a88888289c6f5cc1209054a,26399.67,160.97,164,181
9f505651f4a6abe901a56cdc21508025,26361.82,66.40,397,430
16090f2ca825584b5a147ab24aa30c86,25716.44,63.97,402,410
a416b6a846a11724393025641d4edd5e,25670.72,158.46,162,181
b94cc9f10ddc85e4ba73a6f7974e7101,25346.10,649.90,39,39
c003204e1ab016dfa150abc119207b24,25108.09,127.45,197,202
001cca7ae9ae17fb1caed9dfb1094831,25080.03,125.40,200,239
1900267e848ceeba8fa32d80c1a5f5a8,24982.53,60.78,411,529
1c68394e931a64f90ea236c5ea590300,24832.75,174.88,142,171
b1b3948701c5c72445495bd161b83a4c,24699.19,1372.18,18,18
f62d7bb4a613ec758a03342d46b580b2,24665.00,770.78,32,32
dc4a0fc896dc34b0d5bfec8438291c80,24180.77,104.68,231,249
b37c4c02bda3161a7546a4e6d222d5b2,24075.00,6018.75,4,15
710e3548e02bc1d2831dfc4f1b5b14d4,23979.11,176.32,136,142
2b3e4a2a3ea8e01938cabda2a3e5cc79,23629.15,454.41,52,54
1a3df491d1c4f1589fc2b934ada68bf2,23302.70,139.54,167,178
40db9e9aa57f7bb151bcda6b0f9bdbb7,23168.00,1930.67,12,12
612170e34b97004b3ba37eae81836b4c,23065.02,215.56,107,110
897060da8b9a21f655304d50fd935913,23023.92,72.63,317,430
8444e55c1f13cd5c179851e5ca5ebd00,22873.21,231.04,99,109
7b0df942f46435babab05d49b744b2c4,22600.63,706.27,32,32
7ad32824caee82087b3e2e5f33b1bf32,22505.10,149.04,151,184
744dac408745240a2c2528fb1b6028f3,22490.60,284.69,79,84
06e5eefc71ec47ae763c5c6f8db7064f,22188.56,241.18,92,95
f45122a9ab94eb4f3f8953578bc0c560,22078.29,118.07,187,200
05ff92fedb5be47920fea08e501238b9,21992.78,372.76,59,62
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,21940.80,1097.04,20,20
8f2ce03f928b567e3d56181ae20ae952,21712.90,141.91,153,175
59fb871bf6f4522a87ba567b42dafecf,21708.57,172.29,126,128
d2374cbcbb3ca4ab1086534108cc3ab7,21223.92,40.50,524,631
48162d548f5b1b11b9d29d1e01f75a61,20510.14,301.62,68,91
729f06993dac8e860d4f02d7088ca48a,20485.08,213.39,96,115
00ee68308b45bc5e2660cd833c3f81cc,20260.00,150.07,135,172
bfd27a966d91cfaafdb25d076585f0da,19921.00,170.26,117,118
004c9cd9d87a3c30c522c48c4fc07416,19712.71,124.76,158,170
d650b663c3b5f6fb392b6326366efa9a,19242.90,320.72,60,60
821fb029fc6e495ca4f08a35d51e53a5,19187.42,685.27,28,29
f457c46070d02cadd8a68551231220dd,19093.00,95.94,199,234
2a5b78b41cd05baeac8df54c6606b92c,19025.36,388.27,49,60
dc317f341ab0e22f39acbd9dbf9b4a1f,18988.40,345.24,55,58
96493fab2fbb13a14d0c0e8772eef5c3,18969.00,301.10,63,64
44073f8b7e41514de3b7815dd0237f4f,18729.64,130.07,144,153
cd68562d3f44870c08922d380acae552,18569.70,148.56,125,132
0dd184061fb0eaa7ca37932c68ab91c5,18446.92,114.58,161,193
527801b552d0077ffd170872eb49683b,17942.80,199.36,90,92
a888faf2d1baececa6baf9c3d603ee1f,17765.80,329.00,54,55
9de4643a8dbde634fe55621059d92273,17560.34,243.89,72,81
8b321bb669392f5163d04c59e235e066,17535.69,18.60,943,1018
c72de06d72748d1a0dfb2125be43ba63,17522.00,834.38,21,22
165fc07beebdcb6190fba8a06db2a449,17481.40,349.63,50,64
0c8380b62e38e8a1e6adbeba7eb9688c,17348.79,95.32,182,220
1e8b33f18b4f7598d87f5cbee2282cc2,17309.06,140.72,123,140
94144541854e298c2d976cb893b81343,17286.28,254.21,68,76
54a1852d1b8f10312c55e906355666ee,17226.44,86.13,200,204
abe42c5d03695b4257b5c6cbf4e6784e,17159.00,343.18,50,50
41b39e28db005d9731d9d485a83b4c38,17112.55,87.76,195,231
4a3ccda38b2129705f3fb522db62ca31,17062.59,258.52,66,78
76d64c4aca3a7baf218bf93ef7fa768d,16911.80,264.25,64,69
c3acdfac4e3e97ff87529454fbc03642,16788.00,1399.00,12,12
86ccac0b835037332a596a33b6949ee1,16619.93,92.33,180,210
8ae520247981aa06bc94abddf5f46d34,16320.99,251.09,65,65
7aa4334be125fcdd2ba64b3180029f14,16234.81,74.81,217,240
ef0ace09169ac090589d85746e3e036f,16223.30,125.76,129,140
fa40cc5b934574b62717c68f3d678b6d,16055.87,52.30,307,340
1f1bb1f0859883505541bdd6606193e5,16040.84,594.11,27,29
0adac9fbd9a2b63cccaac4f8756c1ca8,15960.95,145.10,110,142
4b9750c8ad28220fe6702d4ecb7c898f,15915.30,73.01,218,222
2a84855fd20af891be03bc5924d2b453,15819.10,96.46,164,168
229c3efbfb0ea2058de4ccdfbc3d784a,15744.00,130.12,121,148
f9244d45189d3a3605499abddeade7d5,15731.43,749.12,21,21
d921b68bf747894be13a97ae52b0f386,15645.80,203.19,77,77
6061155addc1e54b4cfb51c1c2a32ad8,15633.40,558.34,28,33
c33847515fa6305ce6feb1e818569f13,15519.85,136.14,114,128
85d9eb9ddc5d00ca9336a2219c97bb13,15415.24,30.29,509,522
213b25e6f54661939f11710a6fddb871,15379.50,99.22,155,194
e5a38146df062edaf55c38afa99e42dc,15360.07,126.94,121,125
c847e075301870dd144a116762eaff9a,15348.70,365.45,42,43
ce248b21cb2adc36282ede306b7660e5,15230.06,234.31,65,66
79ebd9a61bac3eaf882805ed4ecfa12a,15092.79,110.98,136,143
75d34ebb1bd0bd7dde40dd507b8169c3,15048.28,242.71,62,72
e2a1ac9bf33e5549a2a4f834e70df2f8,14999.45,2999.89,5,5
01fdefa7697d26ad920e9e0346d4bd1b,14921.43,115.67,129,131
1b4c3a6f53068f0b6944d2d005c9fc89,14760.30,130.62,113,117
a5cba26a62b8b4d0145b68b841e62e7f,14737.84,272.92,54,55
87b740daf17b5d1be335a64164ec6842,14699.87,1130.76,13,13
4c2b230173bb36f9b240f2b8ac11786e,14592.27,55.91,261,346
080199a181c46c657dc5aa235411be3b,14504.20,183.60,79,83
8e6d7754bc7e0f22c96d255ebda59eba,14497.27,170.56,85,130
cf8ab1616079e2793aa29d524df01bb1,14391.00,1599.00,9,9
5cf13accae3222c70a9cac40818ae839,14383.20,96.53,149,156
a6bd7d1ccdac48c6b33b28596b7eb122,14368.61,898.04,16,16
66922902710d126a0e7d26b0e3805106,14362.30,95.11,151,156
aba1721a889e04decc910aa13b768ef4,14103.30,169.92,83,92
f08a5b9dd6767129688d001acafc21e5,14069.63,1279.06,11,18
3b15288545f8928d3e65a8f949a28291,14061.79,135.21,104,121
c6bda72e4dbf5c5866b13cb1810c6d03,14059.38,238.29,59,59
2e90cb1677d35cfe24eef47d441b7c87,13894.71,109.41,127,137
a673821011d0cec28146ea42f5ab767f,13863.69,107.47,129,146
d94a40fd42351c259927028d163af842,13823.80,136.87,101,110
05f51e13da97139648b8125c31e5f51b,13769.01,229.48,60,63
440dd6ab244315c632130ecfb63827b1,13696.90,145.71,94,95
b8bc237ba3788b23da09c0f1f3a3288c,13685.71,304.13,45,47
6039e27294dc75811c0d8a39069f52c0,13670.70,213.60,64,75
1f9ab4708f3056ede07124aad39a2554,13602.73,174.39,78,79
6d66611d7c44cc30ce351abc49a68421,13593.40,81.89,166,176
240b9776d844d37535668549a396af32,13592.08,377.56,36,36
610f72e407cdd7caaa2f8167b0163fd8,13585.16,849.07,16,17
289cdb325fb7e7f891c38608bf9e0962,13544.95,123.14,110,126
0b35c634521043bf4b47e21547b99ab5,13533.65,265.37,51,78
a3e9a2c700480d9bb01fba070ba80a0e,13440.80,103.39,130,144
d05ae8f7a5bd1d2a690a44cd079e4e27,13436.00,172.26,78,81
34d1ca11b242c0fee2c834ae8d788566,13422.24,335.56,40,41
1ca7077d890b907f89be8c954a02686a,13341.57,116.01,115,137
8cc6a0e5738e61a87b03c78b2ba9db4b,13312.40,554.68,24,26
669ae81880e08f269a64487cfb287169,13248.87,81.78,162,186
5d378b73ab7dd6f0418d743e5dcb0bd1,13243.00,1891.86,7,7
ad97a199236354e53fcd91a5a913e9a2,13205.90,776.82,17,18
c31eff8334d6b3047ed34bebd4d62c36,13191.50,108.13,122,123
e8b3a3a38279a82f0e5d006d5e5b7d2c,13154.70,151.20,87,92
6edacfd9f9074789dad6d62ba7950b9c,13147.10,63.21,208,219
99eaacc9e6046db1c82b163c5f84869f,13139.17,199.08,66,70
9e6229250fedbe05838fef417b74e7fb,13132.20,177.46,74,78
431af27f296bc6519d890aa5a05fdb11,13109.50,112.05,117,125
d50d79cb34e38265a8649c383dcffd48,13012.42,185.89,70,70
530ec6109d11eaaf87999465c6afee01,12983.81,133.85,97,104
6e386f64c84e482f0b9abf960797ee1b,12938.30,431.28,30,30
e24fc9fcd865784fb25705606fe3dfe7,12936.00,248.77,52,56
039e6ad9dae79614493083e241147386,12925.00,2585.00,5,5
c60b801f2d52c7f7f91de00870882a75,12913.50,314.96,41,41
cfb1a033743668a192316f3c6d1d2671,12803.64,87.10,147,184
ac3508719a1d8f5b7614b798f70af136,12775.84,124.04,103,104
ed4acab38528488b65a9a9c603ff024a,12759.45,398.73,32,40
7202e2ba20579a9bd1acb29e61fe71f6,12750.50,240.58,53,55
2b1a40c1daabc6ca280c4b815c101841,12732.60,553.59,23,35
c66dccfb3f109511246da627dd5a2498,12708.55,282.41,45,45
2e1c9f22be269ef4643f826c9e650a52,12687.68,75.97,167,173
00fc707aaaad2d31347cf883cd2dfe10,12684.90,123.15,103,135
b372ee768ed69e46ca8cdbd267aa7a38,12630.00,200.48,63,69
66e0557ecc2b4dbea057e93f215f68d8,12480.00,402.58,31,31
a7f13822ceb966b076af67121f87b063,12477.64,166.37,75,86
2138ccb85b11a4ec1e37afbd1c8eda1f,12357.03,31.20,396,429
056b4ada5bbc2c50cc7842547dda6b51,12333.39,189.74,65,66
d6b1ce66b035a475f00c017792ff9769,12277.40,133.45,92,108
48436dade18ac8b2bce089ec2a041202,12271.71,88.93,138,151
c510bc1718f0f2961eaa42a23330681a,12251.00,942.38,13,13
fbc14c0cf93505ef89f64665ffa4a7b5,12227.82,679.32,18,18
c8b0e2b0a7095e5d8219575d5e7e1181,12170.21,144.88,84,85
70c27847eca8195c983ed7e798c56743,12077.52,156.85,77,98
ff063b022a9a0aab91bad2c9088760b7,12076.50,128.47,94,96
e26901d5ab434ce92fd9b5c256820a4e,11990.90,59.36,202,221
701938c450705b8ae65fc923b70f35c7,11983.28,159.78,75,112
c4f7fee5b0db50e87766f5a4d1b1b758,11961.83,1495.23,8,9
128639473a139ac0f3e5f5ade55873a5,11908.85,22.34,533,560
d71d863e5ef30d94e440c11be17dcd8f,11900.90,410.38,29,36
8b8cfc8305aa441e4239358c9f6f2485,11892.00,792.80,15,15
7901646fdd36a55f564ffaf2dbccaaf7,11857.08,538.96,22,27
09f952a5f58d2285b0372551ae8f9b01,11821.50,236.43,50,56
adbc26658d6c7b4b6219f9d934598091,11806.40,134.16,88,92
0be8ff43f22e456b4e0371b2245e4d01,11805.50,73.33,161,180
72c5da29406b4234927b81855e7b64f6,11798.69,380.60,31,31
ce7d1888639e6fb06b2749cbfdac1ff7,11793.89,151.20,78,84
23d7c96d4a1160db1c726b248601b25a,11766.94,222.02,53,55
d1b65fc7debc3361ea86b5f14c68d2e2,11703.07,292.58,40,41
bba3293d6f5d5af2f415e004e8b93ae3,11702.10,688.36,17,17
25e6ffe976bd75618accfe16cefcbd0d,11691.61,108.26,108,117
c4d51195486dc781531876a7d00453d8,11468.98,674.65,17,17
80e6699fe29150b372a0c8a1ebf7dcc8,11441.56,116.75,98,100
b4f8921fcc4ff77b66bea6dda43dcd51,11395.05,633.06,18,20
cab85505710c7cb9b720bceb52b01cee,11389.10,55.29,206,209
1d8dbc4f32378d715c717c1c1fc57bae,11315.89,123.00,92,98
813348c996469b40f2e028d5429d3495,11205.83,62.60,179,202
6cd68b3ed6d59aaa9fece558ad360c0a,11188.57,75.09,149,157
5a8e7d5003a1f221f9e1d6e411de7c23,11171.90,80.37,139,181
ccb83a794700270fde70898fe9ff368b,11062.00,921.83,12,12
8d956fec2e4337affcb520f56fd8cbfd,11015.19,52.20,211,228
6973a06f484aacf400ece213dbf3d946,11011.05,115.91,95,115
95e03ca3d4146e4011985981aeb959b9,11009.96,62.91,175,193
7ea5bfa6c340f58f8e71fc1f0412b0d6,11002.89,112.27,98,104
54965bbe3e4f07ae045b90b0b8541f52,10961.30,140.53,78,86
82e0a475a88cc9595229d8029273f045,10930.02,260.24,42,80
dd2bdf855a9172734fbc3744021ae9b9,10816.70,100.15,108,113
0ea22c1cfbdc755f86b9b54b39c16043,10711.70,45.20,237,269
ce27a3cc3c8cc1ea79d11e561e9bebb6,10682.65,79.13,135,164
c9c7905cffc4ef9ff9f113554423e671,10657.18,83.91,127,139
bd23da7354813347129d751591d1a6e2,10544.30,118.48,89,90
f3b80352b986ab4d1057a4b724be19d0,10505.10,120.75,87,92
f262cbc1c910c83959f849465454ddd3,10482.83,54.60,192,207
c864036feaab8c1659f65ea4faebe1da,10454.20,180.24,58,58
b499c00f28f4b7069ff6550af8c1348a,10327.13,67.94,152,187
ea566164622c6b439516ab18062c42cd,10309.42,206.19,50,52
33a6f4b1e7cdc205511e76ba1b6e0186,10295.01,98.05,105,126
9d5a9018aee56acb367ba9c3f05d1d6a,10292.31,153.62,67,79
06532f10282704ef4c69168b914b77be,10220.50,1277.56,8,9
1c5e4e49b9079480255b49d50aac1aa9,10173.11,847.76,12,12
7b1222c3624aa89b9558b50a2594188c,10103.52,459.25,22,22
5058e8c1e82653974541e83690655b4a,10022.82,159.09,63,78
0df3984f9dfb3d49ac6366acbd3bbb85,10021.49,115.19,87,89
5343d0649eca2a983820bfe93fc4d17e,10000.64,140.85,71,111
054694fa03fe82cec4b7551487331d74,9983.10,475.39,21,22
9d4db00d65d7760644ac0c14edb5fd86,9979.70,101.83,98,100
961dff0a659b4561334372337dd897d9,9946.00,2486.50,4,4
5882820ef11c4c068eea0677a7a879b4,9925.50,708.96,14,14
4830e40640734fc1c52cd21127c341d4,9843.47,46.87,210,219
ef506c96320abeedfb894c34db06f478,9771.43,30.16,324,340
17ca9b9e9b9ef8fdb529001b49ebb50f,9754.83,84.09,116,129
7040e82f899a04d1b434b795a43b4617,9738.20,45.93,212,228
7b07b3c7487f0ea825fc6df75abd658b,9731.85,104.64,93,98
ca3bd7cd9f149df75950150d010fe4a2,9731.85,137.07,71,138
01cf7e3d21494c41fb86034f2e714fa1,9729.36,159.50,61,67
17306570e772e7718c92a562d33f5f1d,9669.80,333.44,29,32
e96498ed8daaa3e9c23f7a62da76591c,9619.09,282.91,34,34
31344c16881c08a8a72c6d2eb29918c1,9615.70,223.62,43,43
e7df4cd29ab5abab70fb0783ddb53987,9608.70,417.77,23,24
73a63f72308aa20a46f4b1632018f196,9606.80,331.27,29,41
b2ac621f0d0322434d04a12b078b9369,9575.50,319.18,30,30
1c129092bf23f28a5930387c980c0dfc,9553.62,47.53,201,220
36a968b544695394e4e9d7572688598f,9482.87,61.58,154,162
3db66a856d18a9cba7c9241fc5221c50,9478.30,100.83,94,97
270297ead4c65a6cd2593960d2af6b21,9422.40,523.47,18,20
81a1104df0f08b59c68aa5b03cfe398e,9420.88,129.05,73,73
066a6914e1ebf3ea95a216c73a986b91,9410.38,138.39,68,74
cb8bcce248bb1fb274ba762d8b971456,9402.20,138.27,68,69
a00824eb9093d40e589b940ec45c4eb0,9399.97,3133.32,3,3
5b8154610ebb21fb90eb587365e673df,9397.54,247.30,38,41
3c487ae8f8d7542beff5788e2e0aea83,9385.70,312.86,30,33
aaed1309374718fdd995ee4c58c9dfcd,9376.95,89.30,105,112
8b28d096634035667e8263d57ba3368c,9375.70,65.56,143,155
05feb94f19d094d4b0f9281f0b1d4c99,9353.00,1558.83,6,6
048c2757535328e0d7dac690ad3c0aae,9264.78,181.66,51,51
aafe36600ce604f205b86b5084d3d767,9251.40,71.72,129,131
624f4ece8da4aafb77699233d480f8ef,9205.00,173.68,53,55
dd7ddc04e1b6c2c614352b383efe2d36,9178.51,75.23,122,143
4e7c18b98d84e05cbae3ff0ff03846c2,9177.90,111.93,82,89
6c12e40690c335dbc2f68a4134d30dc1,9139.20,571.20,16,18
f80edd2c5aaa505cc4b0a3b219abf4b8,9108.20,76.54,119,128
8e8a7ce9f2f970dc00e2acf6f6e199f6,9101.00,140.02,65,66
0db783cfcd3b73998abc6e10e59a102f,9077.40,68.77,132,137
06df0c10d34e459d9672bc77388742eb,9070.00,348.85,26,30
fffd5413c0700ac820c7069d66d98c89,9062.30,151.04,60,61
9b013e03b2ab786505a1d3b5c0756754,9027.40,51.88,174,225
5f2684dab12e59f83bef73ae57724e45,9000.87,132.37,68,74
403aa86912527d730337ffcb0fb096ab,8959.89,814.54,11,11
f27e33c6d29b5138fa9967bcd445b6d5,8888.30,95.57,93,98
32b8764b4ef628b53608fc34011fcc13,8884.00,246.78,36,38
d03698c2efd04a549382afa6623e27fb,8865.47,492.53,18,21
2089a6d640999f9b9141ac719b2af596,8830.82,200.70,44,44
1da3aeb70d7989d1e6d9b0e887f97c23,8823.52,33.30,265,328
a49928bcdf77c55c6d6e05e09a9b4ca5,8816.70,89.97,98,106
562fc2f2c2863ab7e79a9e4388a58a14,8814.20,33.90,260,270
af4a0e4cfe1d9c26b6712b1be25a72e5,8757.98,417.05,21,26
18a349e75d307f4b4cc646a691ed4216,8711.53,72.00,121,148
6d803cb79cc31c41c4c789a75933b3c7,8711.40,150.20,58,66
6c7d50c24b3ccd2fd83b44d8bb34e073,8699.34,76.31,114,128
b1a81260566c1bac3114a6d124413f27,8684.69,170.29,51,54
9596c870880d900012f2e8e6e30d06d7,8606.25,391.19,22,24
db2956745b3a8e9f3785c99f34b5d25e,8599.00,182.96,47,48
259f7b5e6e482c230e5bfaa670b6bb8f,8526.04,61.78,138,165
93dc87703c046b603023e75222018b45,8517.35,243.35,35,36
cbd996ad3c1b7dc71fd0e5f5df9087e2,8411.04,50.98,165,196
b18dc380845b24038cfc48006478f099,8353.30,189.85,44,54
6c177e38df6d3f34182b1f1d427231bf,8341.89,151.67,55,56
7d456afc660226829370f3173d14520c,8338.25,148.90,56,91
fcb5ace8bcc92f75707dc0f01a27d269,8318.63,134.17,62,73
784ba75dd9d20200c4caed3d7a77141a,8295.13,395.01,21,24
3078096983cf766a32a06257648502d1,8285.42,140.43,59,64
26d8a1c7c75d513045798992ead43aa2,8244.12,229.00,36,38
b92e3c8f9738272ff7c59e111e108d7c,8231.09,132.76,62,70
4371b634e0efc0e22b09b52907d9d469,8194.00,80.33,102,112
397c4d0c005b6f41f90098ac724e28cb,8177.00,1635.40,5,5
67883baaae6134ee81b271a542613728,8167.90,429.89,19,19
86bb7c4b535e49a541baf3266b1c95b1,8162.40,510.15,16,16
fdb9095204a334cd8872252ffec6f2db,8156.00,177.30,46,61
52d76513f0c4d97f3b99570e2c94ee31,8153.10,429.11,19,28
33a17d60c64393351ebf1ef860f4e0f2,8152.48,189.59,43,47
4bfc7a4a1cf8d4d2121c27422d9e50b5,8124.40,312.48,26,40
8fb791022c1fc8909664f48ab7dc636d,8119.95,1623.99,5,5
972d0f9cf61b499a4812cf0bfa3ad3c4,8089.29,97.46,83,88
750303a20e9c56b2a6bc45cdce0b897d,8085.00,149.72,54,57
a2e874074c877c5a05abae80ad6e488f,8071.98,183.45,44,46
6bd69102ab48df500790a8cecfc285c2,8070.00,1614.00,5,5
5656537e588803a555b8eb41f07a944b,8065.93,46.36,174,188
7a241947449cc45dbfda4f9d0798d9d0,8027.63,129.48,62,72
54065e9aef7e9e9c2dc23b7594db021a,8003.00,571.64,14,14
b1fc4f64df5a0e8b6913ab38803c57a9,7994.74,74.72,107,121
903037660cf848a717166eb7a06d616e,7991.51,177.59,45,60
ebd2d60905fb58271facef5596b620d3,7941.72,94.54,84,88
bbf9ad41dca6603e614efcdad7aab8c4,7846.00,560.43,14,14
989becdce12ebc39863c2bceab6f3ca1,7840.88,435.60,18,18
725c32fa80c2faacc4fc88450d27314e,7838.88,88.08,89,93
8476243f92442881ddd5b578975cf115,7838.00,653.17,12,12
0432ead42b6c8a0bdf68154add917fdf,7792.10,91.67,85,90
d51e0a403fe2e689ece6c73359d96e12,7790.00,410.00,19,26
2dee2ce60de9709b1a24083217181a1f,7784.50,144.16,54,55
7008613ea464bad5cb9b83456e1e6a8f,7777.00,61.24,127,156
7bac63f6603d382cc8d0832eb6c100a8,7751.95,408.00,19,19
5b925e1d006e9476d738aa200751b73b,7748.50,122.99,63,63
6fd52c528dcb38be2eea044946b811f8,7743.02,115.57,67,84
e5a3438891c0bfdb9394643f95273d8e,7738.35,34.55,224,255
257e61d3251fb5efb9daadddbc2cf7ca,7729.00,644.08,12,12
b410bdd36d5db7a65dcd42b7ead933b8,7726.90,175.61,44,44
42bde9fef835393bb8a8849cb6b7f245,7703.00,220.09,35,40
3bb548e3cb7f70f28e3f11ee9dce0e59,7690.02,167.17,46,53
